,sadness Tweets
34,today due to  covid19  we are in a  situation  that people are suffering starvation and these institutions just notifying us to pay next sem feeis it fair  MamataOfficial  HRDMinistry  PMOIndia  HemantSorenJMM
35,I would like to appeal to media that We should not be part of bad politics in this times of covid19   dont keep targeting ArvindKejriwal   let him manage the  situation  as a CM He should be allowed to work without the media pressure  ZeeNews  JaiBharat  देशहित pictwittercomn7FGX6sqcW
36,Computer viruses of course can go around a world in a few seconds I sort of knew somewhere in my head that a  Covid19   situation  could happen but I didnt pay much attention to it  Now none of us have any choice And this could happen again And again
37,2 We are very underrated and mistreated 3 Politicians never prioritize the healthcare system or their healthcare workers   AND THROUGH THIS COVID19   they abandoned usdefinitely not doing enough not even in places where the  situation  ain’t that badfollow for part 3  https twittercomperezv93statu s1258562681969270784   …
38,Who else is in this  situation    Ryanair   ryanairrefund   COVID19   pandemicissues
39,Have you ever heard of Chidi Roza This is the fast young children keep when they wish to keep the fast but physically they are unable to tolerate it   Same is the  situation  of LockDown  in Pakistan    Coronavirus  COVID19
40,Around 27 employees of BEST buses Mumbai had died due to  covid19  and more than 150 got infected Maharashtra govt not taking any measures nor even paying attention to this grave  situation  save  BEST employees TV9Marathi  abpmajhatv  CMOMaharashtra  republic
41,Our economic  situation  had been deteriorating before COVID19  due to the incompetence of the FM Nirmala Sitharaman  an illplanned lockdown made it worse  GDP 11 years low    Unemployment 2348   Industrial Production 07   Food inflation 928   NirmalaTaiMandiLai pictwittercomAtnbmA90b9
42,Is the  situation  you find yourself in with  COVID19  causing you Anxiety or Depression    Download this free ebook authored by John McConnel of BrahmaKumarisUK   https bitly34Eg3dK       http peopledevelopmentmagazinecom   pictwittercomwFFdSNPoGY
43,Suicide due to depression Depression due to economy  situation  Economy  situation  due to  Covid19  pandemic  Covid19  pandemic due to China
44, PunjabDOHFW  Dear SirKindly help to postpone the Documents verification Schedule of JE Electrical 29419 which held on 10062020 due to worst  situation  of  COVID19 We are from other state and not able to reach at DV centrePlease postpone it for sometimes
45,Most airlines around the world are opened or opening up What another point HardeepSPuri  is missing that  situation  of  Covid19  in India is worsening and in danger of banned list You can always bar tourists and allow only stranded citizens but u HAVE MESSED UP NORMALCY
46,So sorry for your loss Om Shanti Hope other folks take  covid19  seriously after this tragic episode Keep highlighting the  situation  of the hospital and the treatments being provided 
47,Had u realized Mr Stent ive been laughing through out all this convo It was actually a joking question If by any means u felt offended by it my apologies The world is in a difficult  situation  via  Covid19  its affecting all of us in different waySharing a lil joke helps
48,Shame on MoHFWINDIA  people are dying on roads no beds no ventilator in hospitals Where PM fund money gone  Where is TrainHospitals  gone Women are dying in Ambulence during labour due to lack of beds  Covid19  testing stop in India and  situation  getting worse AmitShah  PMOIndia
49, ADIBTweets  Adib  Customer care I have been your customer for years now and recently  when I made my card payment I made 95  of my outstanding due the  covid19   situation  but I was charged AED 1700 for out standing Amount 3000 I think this not justified in the current  situation
50,what i mean is what are we supposed to do in this kind of  situation  we clearly cant go out because  covid19  still exist guys come on and the riot is getting out of control
51,How does F7 work since theres  covid19  Im asking coz I can feel it coming my way Please help I cant handle this  situation  anymore 
52, India  do u now understand why Modi  enforced lockdown1  Few states wanted 2 break from Centre  opened liquor revenue taps Today states like CMOMaharashtra  CMODelhi  CMOKerala  CMOGuj  struggling2 contain covid19  nos we r in lockdown4  mygovindia  PMOIndia  drharshvardhan
53,In the global response to Covid19  people with disabilities  are being forgotten about and left behind And the stakes are high this is a life or death  situation  End disability  discrimination  httpwww sightsaversorgcovidcampaign    EqualWorld  SightsaversPol https campaigningsightsaversorgcovidcampaign  
54,India reports surge in Covid19  cases  10000 on Thursday alone  as lockdown eased WHO  warns  situation  outside Europe deteriorating   httpswww theguardiancomworld2020jun 11globalreportindiareportssurgeincovid19casesaslockdowneasedCMPsharebtntw   …  via guardian  GlobalHealth
55,All the leaders of states  PMOIndia  punting for a second  lockdown   extension  have forgotten they are kissing the indian economy goodbye  India  can’t afford a longer  lockdown
56,Mam tats reliever news i may fall 2  situation  wer will hv2 travel from US To Ind  possible ended up in quarantine either DelhiMumbaiPune Such news r reliever 2 hear as i m concern bot my 5 yrs daughter If govt prvding hotel in subsidized rate what more can be expected 
57,Sad to see that after failure of continued  lockdown  when  India  is moving towards  unlock  with precautions our dist admin is making changes which will be fatal for middle class families Will there be no returnees hereafter Is there comm transmission happening for this decision
58,This  lockdown  of  India  is an irony like burning an entire village to save the village from herd of wild elephants Lockdown2  Covid 19india
59,Covid19  cases in India crosses 50000 Mark more alarming is 10000 cases peported only  in last 3 days  Dont know where we are heading but  situation  is very grim India has lost its seriousness and containment  MoHFWINDIA  PMOIndia    IndiaFightsCoronavirus   lockdownextension
60, Lockdown3  will be catastrophic for the poor who are fighting against  covid   19  as well as the hunger The poor in  India  have 2 choices either die of hunger or die of  Covid Yes More than  Corona  virusa State will kill its own people Lockdownextention  LockdownExtended pictwittercoml2yOdq9pgv
61,You can’t make this shit up It’s like a Movie Not US Citizens Working on  Covid19  research Makes you wonder what the hell really happened Sad  situation  in our Country  https twittercom6abcstatus12 58143250042556418   …
62,Conducting exam in the present  situation  will be physical and economical burden on the countryu must also think about the students how will risk their life for examif a single child in the center suffers through non symptomatic COVID19  it can harmful effect the other students
63,Global problem lost in jobs and COVID19   situation   every country facing problems He will cont for his company or travel agency  show the employer agreement please follow the rules
64,Lucknow Chief Minister Yogi Adityanath holds a meeting with the senior govt officers over COVID19   situation  in the state  pictwittercomCzEUXOcaNP
65, RoyBlunt  Hello is your office helping to bring back MO residents from overseas who are stranded because of  COVID19   situation  I am trying to help my parents who are American citizens and they have been stuck in India I have registered them with Dep of State but
66,As the number of positive cases of COVID19  continue to spike doctors and other health workers are finding that the  situation  is taking a toll on their mentalhealth  Many are battling trauma  and insomnia  causing various psychological issues among them httpswww dtnextinNewsTamilNadu 202005130356401229789Healthcarestafffacementalhealthissuesastheyvpf   …
67,EPAAWheeler  Gutting science during an unprecedented pandemic makes a mockery of the grave  situation  our nation currently faces 30 more days for public comment doesn’t change that Halt your attack on Americans’ health until after we’ve dealt with coronavirus  COVID19
68,Unlock   India  10 start but I still wake up to “highest number of  Covid  19  cases and deaths in last 24 hours”  The curve isn’t anywhere close to flattening The Baton of risk controls has been handed over to the individual from the state Stay safe    UnlockIndia  Covid
69, Guatemala  COVID19  Director  medical staff at Roosevelt Hospital announcing collapse of the hospital URGENT    Roosevelt Hospital has reached the limit of the  situation  we are overwhelmed  https twittercomPrensaComunita rstatus1271127791820554242   …
70,But losing to PutinsGOP  in November will end the USA  as we know it  Assuming that it will be enough proof for you it will be too late to do anything about it  And for the KidsInCages   overcrowded and vulnerable to COVID19   its literally a lifeanddeath  situation 
71,I want to be the voice for other children who are going through the same  situation  as I am In other words I want to raise my voice and to ask questions on COVID19   Nyajima 17 South Sudan DAC2020  DayoftheAfricanChild2020 https unicf30OvTTg  
72,AirAsia is mounting special recovery flights for those passengers affected by the enhanced community quarantine  situation  in Luzon as well as in different parts of the country due to the COVID19  pandemic ECQ  AirAsia https tribunenetphindexphp2020 0522airasiamountsspecialrecoveryflightsinphl   …
73, आशारामजीआश्रमद्वाराकोरोनासेवाकार्य  is a recommendable work done by disciples of Sant Shri Asharamji Bapu in this critical time period of lockdown  Many needy people are getting food and grains in this worst  situation  of Covid19   pictwittercomUJHKpMNXlq
74, DrBladeNzimande  lectures are making poor post Graduate students life very difficult requesting assignments to be submitted on the due dates that where set for the academic year 2020 regardless of the  COVID19   situation  Minority of us are struggling with relevant info
75,Its not only the economic  situation  tht is going to force them to change their minds but also the increasing nos of many ppl infected with  Covid19   Political affinity or political clout is not going to save lives  BUT bhakts will forget it all come next election  https twittercomRKRadhakrishn status1269813389989040128   …
76, CancelTSExamsPromoteStudents   The  Covid19  cases are increasing day by day so in these pandemic  situation  dont open colleges If one student suffer the whole colleges will suffer so for the sake of marks dont risk students life
77,EPAAWheeler  Gutting science during an unprecedented pandemic makes a mockery of the grave  situation  our nation currently faces 30 more days for public comment doesn’t change that Halt your attack on Americans’ health until after we’ve dealt with coronavirus  COVID19
78,Its not a Come on folks  situation  Its a Come on WH get your shit together  situation  Which will never happen if it hasnt happened already The WH has grown bored with  COVID19  because all those dying people are so tiresome They lack the guts and have given up the fight
79,With salary cuts being announced all around amid covid19  many founders  are left wondering Should I go ahead too  OR  Should I wait and get a better grip at the  situation   Here is what we did ↓
80,Home Minister AmitShah  to hold a meeting today at 12 PM with senior administrative officers of DelhiNCR in view of COVID19  management and  situation  in the national capital   News agency ANI  For more updates follow  https bitly2YRCREC   pictwittercomDX9m3LIA8i
81,Today highest no of cases reported in a day 8301 In Delhi  daily cases exceeding 1k  situation  is getting worse day by day  COVID19   pictwittercomZfPq14tMfG
82, revanthanumula  sirplease convey to Telanganagovt  there are around 901148 ration cards are pending in civil supplies dept from yearsno progress of those applications since years are passingpoor people are losing the govt essentialsbenefits in this COVID19situation help   pictwittercom0jj61uG40W
83,These tragic acts of Terrorism  has further complicated the unemployment   situation  and returning to work  due to COVID19    We need to figure out some sort of extension for the federal assistance to unemployment  There are good ppl who need help 
84,“Many USbased independents have announced cuts of 4050pc which is quite a significant response to the current  situation ” says David Round BMO  COVID19  oilprice  oilandgas httpswww petroleumeconomistcomarticlescorpo ratefinance2020independentsvulnerabletodebttrap   …
85, आशारामजीआश्रमद्वाराकोरोनासेवाकार्य  is a recommendable work done by disciples of Sant Shri Asharamji Bapu in this critical time period of lockdown  Many needy people are getting food and grains in this worst  situation  of Covid19   pictwittercomnsJzwotvMu
86,A wise reflection as always I’ve posted similar thoughts as we observe this awful  situation  from a patient’s perspective  Bedhouse bound patients are already benefiting from now available opportunities we’ve begged for pre  Covid19  A phenomenonhealthy people won’t ever realise
87,Mississauga resident stuck in South  India  trying to get back home Latest local media is reporting  extension  of  lockdown  ROCA update has no plan to bring us back from South  India  Situation is not improving request your help to back on repatriation flight to Canada
88, OfficeofUT  Mumbai has now become New York of  India  in this pandemic thanks to the pathetic administration of the govt Do us all a favour  lockdown  your state Pls dont rally for  extension  of a nationwide  lockdown  since other states have been 
89,Due to the restrictions of the COVID19  pandemic Autistic  children are finding the  situation  either hard to cope or the opposite Such as with this girl who enjoys learning in the comfort of her home and doesnt want to go back to schoolthinkingautism https twittercomthinkingautism status1262679827804336128s09   …
90,The NITI AAYOG report from 24th Arpil claimed India will have ZERO  COVID19  cases by 16th May  Today India is in a worse  situation  than even China ShamelessBJP
91,Lockdown  extended stay home stay safe we MRoomie  we are missing you all       lockdown3 0 stayhome  missingcollege  friends  staysafe  studenthousing  myroomie  India   httpswww instagramcompBrU2OwlEU5 igshidyk6mfklshm32   …
92,Union Home Minister AmitShah  has called a meeting of all political parties at 11 AM today to discuss the Covid19   situation  in Delhi  amid a recent spurt in the cases    IamAyushmann  with the details pictwittercomhzS7vUm53b
93,Gurugram COVID19   situation  is getting worse by the day The total number of cases reported from gurugram is almost equal to cases from small states
94,Trump valet tests positive for COVID19  It is sadly ironic that Donald J Trump has breathed the same air as his valet because he refuses to wear a mask He gets mad about it which is laughable because he caused the  situation  Trumps ego impairs his judgment VoteBlue pictwittercomqvAOu8NxUr
95,Agree there no need of  lockdown  is theremany have lost jobsno work no food even v r stuck with fmlyn cases r not being restrictedneither its coming downmore cases more  extension  of  lockdown v want to go home too n find work thenits getting tougher 
96, kristamahr  any coverage on India The bad economic  situation  over the last 4 years The rise in Unemployment and lack of opportunities The Mismanagement of  covid19  How bad the Country is under the current regime Who or what broke the Great Indian growth story
97,The question is would you be so critical of the government I think it’s right to defend the government dealing with a crisis and asks those tough questions after You wouldn’t berate a pilot during a free fall you’d try help rescue the  situation  Well I would   COVID19
98,Some of the students are in a very poor condition and only eat 1 meal a day Due to  COVID19  crisis thier  situation  is very bad PromoteStudentsSaveFuture  NSUIKarnataka  drashwathcn
99,Had Tablighi Jamaat and the State governments ruled by discredited Opposition leaders not resisted First and Second LockdownsIndia would have won war against COVID19  Since Modigovt  succumbed to political pressure of Opposition  situation  is worsening each passing day
100,Its hard to say that our country is in huge loss with respect to the country economy system but still we are under control in this worst  situation  of the covid19  Here I want to highlight two points which I have read in the news
101, keepsafeeveryone   naturelover  kenyansafari  covid19   Due to the current  situation  we can not move around as we used to before  ButKenya is still  beautiful  We all miss our National parks amboseli the…  httpswww instagramcompCBNVVZ2AcD igshid23mefavcb5uk   …
102,its not possible practically to maintain distance for all people students parentsyouth families get sick at unrecognisable level and this  situation  isnt good to judge anyone capability COVID19  postponeneet  postponejee  HealthOverExams  JusticeForStudents  lifematters
103,You artificially inflated home prices caused oil wars Desert Storm 911 many bank schemes and deep recession refused to pay younger generations endless scandals mishandling the  Covid19   situation  and we are here cleaning up your mess
104, June July  PeakPeriod  COVID19  High time to maintain strictly like Locked down10  situation  might be out of controlif developed country unable to control then we should maintain the current  situation  very strictly CMOOdisha  JajpurAdmn  gapgdept  IncreaseUpperAgeLimit42yr
105,Breaking News Govt extends the  lockdown  in  India  by two weeks  Lockdown  will now last till May 17 Relaxations will continue as the situation develops Lockdown3
106,This all looks so orchestrated A man was executed to start new chaos now everyones infighting all anyone is talking about is this  situation  not  covid19  Look at this not that Did a man die to distract us from  covid19  And as usual make our President look bad QAnon
107,M7 Some truck drivers are being found with diseases like pressure and diabetes This is dangerous a truck driver should be like a pilot This  situation  has awakened us COVID19
108, MoHFW INDIA  i dont get d logic behind opening  lockdown  partial open up in past 2 weeks hv reported more cases still migrant workers are moving should have continued with partial opening up as announced with  lockdown  4  Unlock  vil make situat
109,He was not in a life or death  situation  There is also no confirmation he had  Covid19  He broke the If you or your family have symptoms STAY at home he didnt and went to visit his mother She has spoken to press about it google it She says she was grieving her brother
110,Covid19 Isolation Day 76  Im glued to the  situation  in the States heartbroken by all the anguish I wish they had a leader that could bring people together  deescalate the  situation   icantbreathe   quarantine  COVID19  coronavirus  Isolation  COVIDCanada  SocialDistancing
111,you’re appalled at the  situation  We are upset about it too because it’s morphed into something not intended and taken some focus off the real issues the killing of black people and the injustice that’s coupled with it It’s taken focus off the fact that  COVID19  impacted
112,not trying to defend anyone here but theres no guarantee the bus drivers whove died contracted  covid19  in a work  situation  though it does look like it My mate drives private taxis in the face of  covid19  and has had zero symptoms whatsoever with closer interaction with customer
113, OfficeofUT  PMOIndia  Monsoon is nearing  Situation  in Mumbai is going to be worst Its going to be hellish life for both poor people and frontline  Covid19  fighters CM has to be cautious and act intelligently Time is running out
114,My parents are in Canada and have return flight on411to  India  but due to  covid   19  and restriction flight gotcancel   India  is planning to extend this shutdown My parents will spend almost 6mth at the end of April 2020 in CanadaWhat are the option to stay during this  extension 
115, prudentgoa  Dear Sir  Myself Saurabh Sangodkar From Porvorim  I Study MCOM Part 1 At Govt College Virnoda PernemSir I Request You to Please Tell Our CM Sir To Cancel Our Exams Because Of  Covid19   Situation  DrPramodPSawant  goacm  NSUIGoa  ugcindia  GoaUniversity
116, आशारामजीआश्रमद्वाराकोरोनासेवाकार्य  is a recommendable work done by disciples of Sant Shri Asharamji Bapu in this critical time period of lockdown  Many needy people are getting food and grains in this worst  situation  of Covid19   pictwittercomHeTNaw2hAN
117, ICICIBank  I am regular customer at icicibank I am self employed Now today my business stop this  covid19   situation  No money recover from market I also big loss can you help me for my start business help me new loan from bank Contact me
118,Haiti a country with a population of 11 million currently has 124 ICU beds with even less ventilators   With those numbers alone you don’t even have to know about Haiti’s current  situation  to recognize that a covid19  crisis would collapse Haiti’s health system
119,While it’s true that COVID19   has slowed down our growth  India  has now left the  lockdown  behind and has entered Unlock1  So in a way we have already started getting our growth back  narendramodi   Its not true we were already slowing down b4 Lockdown   https indianexpresscomarticlebusine sseconomypmnarendramodiciiannualsession2020announcements6438454   …
120,I had already tweeted on Modiji msg if  covid19  doesnt kill us  situation  will kill us And here accidents and suicide 
121,Tourism play Major role in real time contribution into Economy and Employment Generation Well Established Facts but now its dashed to zero due to  Covid19   But still we are fight againts every  situation  We want only basic support   savetravelagents
122,When the inevitable onslaught towards the Scottish government on their handling of  COVID19  remember this video First time the true  situation  has been on msm  despite it being so obvious  https twittercomMacnessiestat us1266337860178915328   …
123,I wonder if any confirmed deaths from these violent RIOTS will be listed as  Covid19  deaths Curious Especially since  Covid19  now seems to be ALMOST a thing of the past There are little to no reports on the news with this new  situation  going on It seems a little strange
124,लखनऊ का नजारा है ये । लोकडाउन असफल होता हुआ ।।  RIP   India   lockdown   Lockdown3   pictwittercomVCAu9W2CPH
125,But we keep hearing Africa is doing well in the fight against Covid19    Reality is numbers coming from most african countries are not to be trusted because Health Sysytems are poorly organised  financed Testing almost inexistant  gov are often unable to monitor the  situation   https twittercomMiddleEastEye status1267476337188573184   …
126,In  India  the cost of the Coronavirus  lockdown  is bigger than the Coronavirus pandemic itself The credit goes to poor planning by the govt How were they possibly making any arrangements for the  extension  while the railway keeps ticket bookings open collecting crores of money
127,Late all the northern states continue their denial  Mind you Kano also denied and insisted those 100s of mysterious deaths blaming them malaria until the federal govt team reinvestigated the  situation  and official declared those over 600 deaths in Kano as COVID19  related  https twittercomchannelstvsta tus1260578258023841794   …
128,When there is no cure Why is it that hospitals charge anywhere between 3lakhs to 1250lakhs A heart surgery liver transplant understandable But  Covid19  what the hell they do Medicine given randomly costs paltry sum Profit from pain Milk the  situation when it is Pandemic
129,No coincidence were right by a corrections facility so yeah unpaid prison slave labor I cant express how little anybody cares about the real magnitude of this entire  situation  Theres no end in sight were all just stuck to deal with it COVID19
130, SandeepBhartiye  The  situation  in the state is much SCARIER than it seems Heres why    AAP Govt’s laxity  mismanagement has led Delhi into a disaster performing worst in several  COVID19  indicators  AAPseNaHopayega  INCDelhi pictwittercomZrWCo5bmvT
131,Day 95  situation  coronavirus  italy                       230158 cases 300                 since yesterday  32877deaths 92    141981 healed 1502  CoronavirusOutbreak   CoronaVirusUpdates   COVID19  Covid19  COVIDー19   covid2019  COVID19
132, DrPramodPSawant  ArvindKejriwal   Lockdown  in  India  has become a damn joke Almost everything is open but States still want a  lockdown   extension of what Even govt expert panels are now against an  extension  but the expert CMs want to continu
133,JCPenney being a century old organisation suffering with the  COVID19   aftermath Can imagine what will be the  situation  in our nation if right decisions are not taken NOW to stabilise and jumpstart our firms  https twittercomcnnbrkstatus 1261431980853391360   …
134,When will you let people stuck in  India  out of here and to their own homes We are away from our families and work for 2 months now Instead of getting clarity or updates from govt we are getting  lockdown   extension   OutboundFlightsFromIndiaNOW   OutboundFlightsFromIndiaNOW
135,Almost one in every two people in Mexico believes the economic  situation  has deteriorated during the past six months and many expect a recovery to take more than a year  httpswww nasdaqcomarticlesnearl yhalfofmexicanpopulationsayeconomyhasworsenedpoll20200525   …  mexico  Covid19 mx
136,Whether coronavirusinindia  kills more people in India  or not the  extension  of Lockdown  will kill MORE due to starvation mental depression and unspecified problems DontExtendLockdown
137,The  Covid19  Conspiracy However COVID 19 comes about more people feel the need to be more independent and more selfsustaining this  situation  also highlights the issues with our information systems and how hard it is to get factual information even  https vitaearborcomcovid19consp iracytheories   …
138,Dear abpmajhatv  zee24taasnews  saamTVnews  TV9Marathi   We all know that all your correspondents are working hard for us to show the  Covid19   situation  in Maharashtra  but can you atleast give 2 minutes for Mira Bhayander and Vasai Virar on your show
139,As other states in the region seek help from the IMF  to combat the economic damage caused by COVID19  Algeria  claims it will not seek international assistance Read the latest MEI policy analysis on the  situation  in Algeria by Dalia GhanemYazbeck    httpswww meiedupublicationsa lgeriatowardeconomiccollapse   …
140,You are no more special either if you end up in ICU with  Covid19  no You know the  situation  where a decision has to be made who can live and who is to die
141,Whats the next plan of Indian gov to protect indians from  covid19  as  situation  getting worst day by day sambitswaraj  sudhirchaudhary
142,We can’t do this alone We need Him and we need each other So to my friends affected by this awful current  situation  for what it’s worth I’m so sorry My heart hurts for you and where we are If I could hug you  COVID19  or not I would 79
143,Decisively plan a strategy to convince people to maintain socialdistancing  that is the only way forward  Focus on 10 major urban centres limit activity test and analyse the  situation  and strengthen SOPs Restrict any gathering by law  Pakistan  COVID19   pictwittercomGtMKgTQq4j
144, आशारामजीआश्रमद्वाराकोरोनासेवाकार्य  is a recommendable work done by disciples of Sant Shri Asharamji Bapu in this critical time period of lockdown  Many needy people are getting food and grains in this worst  situation  of Covid19   pictwittercomzji4gJWUD6
145,Proposals from LCJ to limit jury trials in Crown Courts  Delays are unmanageable because of pre COVID19   situation  lack of funding CJS closure of courts political decision to cut sitting days  Delays are manageable with proper resourcing without limiting right to jury trial  https twittercomJoshuaRozenber gstatus1272801360992522240   …
146, आशारामजीआश्रमद्वाराकोरोनासेवाकार्य  is a recommendable work done by disciples of Sant Shri Asharamji Bapu in this critical time period of lockdown  Many needy people are getting food and grains in this worst  situation  of Covid19   pictwittercomuWKNIvjQP6
147, COVID19  has created a  situation  where many people dont have a way to generate income anymore and are unable to afford food For this reason in different parts of Bolivia cruzrojabolivia  has been delivering food kits to vulnerable populations pictwittercomGNFgw4O4jc
148,Ottawa Anyone can now get a COVID19  test regardless of symptoms or  situation  Head to the Brewer assessment centre or any of the two care centres in the eastwest if you want to get a test ottnews  coronavirus
149,Hopefully youll tell the whole truth Everything that was going on before  Covid19  has been left without any attention  I white senior was suffering 5 years before  now during   Covid19  all due to citys lies and falsified files  you have done nothing to correct the  situation  
150, narendramodi  AmitShah  are solely responsible for this worst  situation  arose out of  COVID19  They are doing this purposefully only to suppress their failure  to make India a developed country Indian must come forward to save themselvesfollowing restrictions
151, narendramodi   DevFadnavis  Fighting great against  Covid19  epidemic but Its our bad luck cuz this Thackeray Gov Ruining everything they are failed to handle this  situation we dont hv any leader from state gov here our sambhajipatil77  ji fighting all day 2 make our ppl safe
152,Tired of him milking this tragedy Ridicules the entire nation  Extension  of  lockdown  could have been done via PIB India  or a tweet at best
153, COVID19  Truth  India  is at stage 4 and further  extension  of  lockdown  proves this point  Lockdown  has failed to contain the virus and it would continue to be a failure unless we undertake crucial testing and relief activities PMOIndia  has failed on all fronts DigitalIndia pictwittercomSegn0ywNnQ
