,analytical Tweets
69,Around 27 employees of BEST buses Mumbai had died due to  covid19  and more than 150 got infected Maharashtra govt not taking any measures nor even paying attention to this grave  situation  save  BEST employees TV9Marathi  abpmajhatv  CMOMaharashtra  republic
70,Our economic  situation  had been deteriorating before COVID19  due to the incompetence of the FM Nirmala Sitharaman  an illplanned lockdown made it worse  GDP 11 years low    Unemployment 2348   Industrial Production 07   Food inflation 928   NirmalaTaiMandiLai pictwittercomAtnbmA90b9
71,Every now and then the  Covid19   situation  and natures beauty is just too much
72,Theres no  situation  in life which stays permanent as long youre working towards changing it  Covid19  will pass and all the devastation it has caused will become history 
73,Due to the  extension  of nationwide  lockdown  announced all flights now flying within  India  and those taking off or landing in  India  stand suspended until 17 May 2020
74,Shorter guest list at ceremonies banquets less flowers reduced menu among austerity measures due to  COVID19   situation  Rashtrapati Bhawan
75,Is the  situation  you find yourself in with  COVID19  causing you Anxiety or Depression    Download this free ebook authored by John McConnel of BrahmaKumarisUK   https bitly34Eg3dK       http peopledevelopmentmagazinecom   pictwittercomwFFdSNPoGY
76,http twibinlELzX9BK76oR5    Economists Predict Worst Recession Ever for  India  Amid  Lockdown   Extension   http twibinl48rMKgXy7eg7    crypto  777 btc pictwittercomKzccI25fr1
77,As per HMOIndia  guidelines for phased reopening based on the assessment of the  situation  dates for restarting the sports activities will be decided in Phase3  https bitlyLockd5     MoHFWINDIA  drharshvardhan  DrHVoffice  COVID19  Covid19  COVIDー19  Unlock1  unlockone https twittercomkamaljain2015 status1270983542252556288   …
78,Government should bring ordinance immediately on account of  lockdown  economy loss NO Bandh shutdown can be called for next 2 years at state or pan  India  level for whatsoever reason by any org  PMOIndia  lockdown   Lockdownextention   Lockdown3   IndiaFightsCorona
79,Suicide due to depression Depression due to economy  situation  Economy  situation  due to  Covid19  pandemic  Covid19  pandemic due to China
80, PunjabDOHFW  Dear SirKindly help to postpone the Documents verification Schedule of JE Electrical 29419 which held on 10062020 due to worst  situation  of  COVID19 We are from other state and not able to reach at DV centrePlease postpone it for sometimes
81,Revised guidelines on the subject cancellation of tickets and refund of fare due to COVID19  situation   covidindia  COVID19  coronavirusinindia  IndiaFightsCorona  Coronafighters pictwittercompiL4BmPcUZ
82,Why is australia proposing investment in gas as a way out of the  COVID19   situation   https twittercomsmhstatus127 0998041542168577   …
83,Happy thursdaymorning  As you know weve been receiving regular video messages laden with positivity to power us through lockdown and theyre definitely helping us all find positives in every  situation  COVID19   pictwittercomrB209DupDN
84,I have a proposal to inhibit the spread of the covid virus if you wish I will present it waiting for a response It is very important to stable the  situation  from  covid19
85,Reinstating TransTasman flights will help both countries economies kick start the next part of their recovery efforts With other Pacific nations included when the COVID19   situation  allows NewZealand  Australia  avgeek  tourism  australasia  travel httpswww theguardiancomworld2020may 05transtasmantravelbubbletoallowflightsassoonaslockdownseasemorrisonandardernagree   …
86,How can COVID19  increase inequalities  in LAC  among those who are still going to work How can policymakers  help address this  situation  Check out this data  tool that analyzes mobility and infected cases per country    httpswww latinamericaundporgcontentrblac enhomecoronavirusdatacovidregionhtml   … pictwittercomZ3NFg7omcR
87,I think  covid19  pandemic  situation  teaches us how much population control is needed in our country
88, ADIBTweets  Adib  Customer care I have been your customer for years now and recently  when I made my card payment I made 95  of my outstanding due the  covid19   situation  but I was charged AED 1700 for out standing Amount 3000 I think this not justified in the current  situation
89,New Delhi The Reserve Bank of  India  RBI on May 22 announced a threemonth  extension  of moratorium on term loans till August 31 2020 giving a respite to borrowers whose income has been hit because of the weekslong countrywide  lockdown  to curb the spread of coronavirus
90,MHA order in guidelines in  lockdown  40 states and UTs can decide on classification of red orange and green zones Only essential activities will be allowed in red zones PMOIndia  HMOIndia  MoHFW INDIA   Lockdown4  lockdown  lockdownextension  guidelines  IndiaFightsCorona pictwittercomaeDmmB8Yk4
91, imBhupendrasinh  sir  You are not understanding the  situation  of students  Student are in stress due to COVID19  padamic  https twittercomyashthakkar73 status1272576952742768640   …
92,Economists Predict Worst Recession Ever for  India  Amid  Lockdown   Extension   http dlvritRWyMwN   pictwittercom1tMAaZUgWB
93, Karnataka  Chief Minister BSYediyurappa  holds meeting with opposition parties at Chief Ministers Office in Bengaluru over COVID19   situation   coronavirusinindia  KarnatakaFightsCorona pictwittercomYDvVGePsMN
94,Mike Pence is infected with the coronavirus  Trump meanwhile sees the  situation  as normal COVID19  CoronavirusUSA  usaCoronavirus pictwittercomA6YsEDEGIa
95,Government should impose hard restrictions for people of  India  for atleast 21 days in any way possible so that the  lockdown  actually benefits the people Else people aint listening anyway   IndiaFightsCornona  Lockdown  Lockdown3Point0  Lockdown3   republic  ndtv  htTweets
96,In the global response to Covid19  people with disabilities  are being forgotten about and left behind And the stakes are high this is a life or death  situation  End disability  discrimination  httpwww sightsaversorgcovidcampaign    EqualWorld  SightsaversPol https campaigningsightsaversorgcovidcampaign  
97,All the leaders of states  PMOIndia  punting for a second  lockdown   extension  have forgotten they are kissing the indian economy goodbye  India  can’t afford a longer  lockdown
98,All humans must have made mistakesall humans also have the right to do something that makes them happy only the current  situation   covid19  gives the wrong impression on their actions If the  situation  is okay no one will be blamed  pictwittercomLR08NgHQnn
99, StateFarm  good day  I was under the impression discounts would be given on policies due to the  covid19   situation  Is that correct and how is it being handled  My renewal does not reflect anything Tks
100,The Centre for Covid19  Situation  Administration CCSA meeting approved on Friday May 22 extension of the state of emergency for a month until June 30 as proposed by the National Security Council NSC  CCSA  extension  NSA  COVID19  coronavirus  พรกฉุกเฉิน  โควิด19 pictwittercomwDrZ6MrPuq
101,For some the COVID19  lockdown has been business  as usual jessdenham  shares insights on how the current  situation  is allowing introverts to hone their creativity productivity  and leadership  on guardian  FutureofWork  COVID19   https bitly3d5fY5k   pictwittercomOP5Dfsjh6f
102,The COVID19 cases in India are at its peak and the current  situation  demands us to be utmost cautious in our conduct  Your safety lies in your own hands Stay at home and take all the necessary precautions  COVID19  IndiaFightsCorona  MohawkFincap pictwittercomMOfAAEpdDT
103,Sad to see that after failure of continued  lockdown  when  India  is moving towards  unlock  with precautions our dist admin is making changes which will be fatal for middle class families Will there be no returnees hereafter Is there comm transmission happening for this decision
104,This  lockdown  of  India  is an irony like burning an entire village to save the village from herd of wild elephants Lockdown2  Covid 19india
105, Lockdown3  will be catastrophic for the poor who are fighting against  covid   19  as well as the hunger The poor in  India  have 2 choices either die of hunger or die of  Covid Yes More than  Corona  virusa State will kill its own people Lockdownextention  LockdownExtended pictwittercoml2yOdq9pgv
106,Very much tensed for the current  situation  of our Mother Earth No one would have ever thought of this pandemic outbreak No one know weather heshe is going to survive or not from this virus Waiting for the vaccine to save everyone of us COVID19  ChinaVirus  ChinaVirus
107,What will receptions look like in 2020  How are your local DJs preparing to respond to the changing needs in light of the current  COVID19   situation     httpswww facebookcom46003397416713 4posts1232038040300053sfnsnmo   …
108,And there are states asking for  lockdown   extension  Telangana Gov Is asking for  extension  asking Gov to stop resumption of railways and at the same time telling shramik special train is okay States ideology is stranded people must stay stranded to death but liquor is imp
109, PMOPressConf  CCS Suga answered questions regarding the latest  situation  of the Korean Peninsula suspension of deploying Aegis Ashore system in Japan and the screening methods applied to COVID19   https bitly3d6O896  
110,Since the beginning of COVID19  health authorities  medical organisations have faced a chaotic  situation  in the global supply chain for personal protective equipment We call for regulation to ensure that PPE  is distributed to countries who need it most  http bitly2XAuqwA   pictwittercom9XbOA3YENu
111,Ottawas COVID19  situation  stabilized but fight continues Chief Medical Officer of Health ottnews  COVID19   httpswww ottawamatterscomlocalnewsott awascovid19situationstabilizedbutfightcontinueschiefmedicalofficerofhealth2329455   …
112,Good morning  Check out our latest COVID 19 Mining Sector and Communities  Situation  Report   httpwww zelaorgdownloadcovid 19miningsectorsituationalreportzelas3rdseries   …  The key highlights   httpwww zelaorgdownloadcovid 19miningsectorsituationalreportzelas3rdserieshighlights   …  Read  Share  COVID19  Mining  ASMINZIM pictwittercomcUbEQSsaG1
113,Foreign Nationals have allowed themselves to be used by greedy Whites to displace SAfricans hence we blame them for the current  situation  Even Tito have admitted that hence he suggested that post  covid19  SAfricans should be majority workforce in all sectors  https twittercomMasterwigs00s tatus1260914296281849858   …
114,Gakharia did say he might speed up the timetable if the  situation  allowed but there also needs to be an effective and sufficient public messaging campaign So far its all been done well but lets see Tbilisi  COVID19  25
115,Conducting exam in the present  situation  will be physical and economical burden on the countryu must also think about the students how will risk their life for examif a single child in the center suffers through non symptomatic COVID19  it can harmful effect the other students
116,Barclays cuts  India ’s GDP forecast to zero citing  lockdown   extension    https bitly3a56juc  
117,Global problem lost in jobs and COVID19   situation   every country facing problems He will cont for his company or travel agency  show the employer agreement please follow the rules
118,Economists Predict Worst Recession Ever for  India  Amid  Lockdown   Extension  bitcoinNews  bitcoin  cryptocurrency https newsbitcoincomindiaworstre cessioneverlockdownextension   …
119, narendramodi  AmitShah   Respected PM and HM I would like to draw your kind attention towards the fact that CM Delhi and CM Maharashtra are not capable to handle  Covid19   situation  hence please impose military rule in favour of Indian citizens on immediate basis Regards  NKS
120,Hi Christopher Our top priority is protecting the health and safety of our employees and the communities we serve Were committed to supporting employees who choose to stay home for any reason related to  COVID19  Were monitoring the  situation  during these unprecedented times
121,Lucknow Chief Minister Yogi Adityanath holds a meeting with the senior govt officers over COVID19   situation  in the state  pictwittercomCzEUXOcaNP
122, RoyBlunt  Hello is your office helping to bring back MO residents from overseas who are stranded because of  COVID19   situation  I am trying to help my parents who are American citizens and they have been stuck in India I have registered them with Dep of State but
123,Refer to these tables for data on confirmed coronavirus cases deaths and recoveries in  India  and across the world  coronavirus   COVID19  Lockdown2    https mybsin2YLfp8a  
124,Check out the latest COVID19   situation  in Malaysia What do you think  pictwittercom8imFnlkoFs
125,Zero Barclays cuts  India s GDP forecast to zero citing  lockdown   extension   httpswww moneycontrolcomnewsbusiness economybarclayscutsindiasgdpforecasttozerocitinglockdownextension5143081html   …
126,Economists Predict Worst Recession Ever for India  Amid  Lockdown   Extension    https newsbitcoincomindiaworstre cessioneverlockdownextension   … pictwittercomjQnJ38vfnv
127,The evolving  situation  surrounding COVID19  can trigger overwhelming emotions for a lot of people There are free resources available to help 247 Follow the links for more details    Info from Brunsco   http owlyvFEx50zqFTQ      Info from ncdhhs   httpswww ncdhhsgovdivisionspubl ichealthcovid19managingyouroverallhealth   … pictwittercomhaQIC9SZP9
128,Economists Predict Worst Recession Ever for  India  Amid  Lockdown   Extension   http dlvritRWwghZ   pictwittercomLCrKyrfV9M
129,Part of being resilient during this pandemic is making changes to adapt to the  situation    “The measure of intelligence is the ability to change” Albert Einstein coronavirus  COVID19  resilience
130,If I divide and multiply this  COVID19   situation ndaba nga Pastor Yiga gwebasibila obwelele
131,New Zealand Prime Minister Jacinda Ardern on Friday announced to reopen the country in gradual phases after analyzing the current  situation  of coronavirus in the nation She has also permitted the businesses to reopen across the nation  coronavirus  COVID  COVID19
132,Can someone explain why were being sold Brazilian gala apples in the middle of a Lockdown2  COVID19  pandemic  in  India   I mean I get the supply chain capitalist control but we really need to rethink these massive carbon footprints aight  pictwittercomk2rzvFczgf
133,You are analysis about  COVID19  is really good to understand the  situation  properly so thank you so much 
134, 12 June 2020  An update from the Thai government regarding Thailands COVID19   situation  by Mr Natapanu Nopakun Deputy DirectorGeneral of the Department of Information and Deputy Spokesperson of the Ministry of Foreign Affairs  https bitly2MSYxKF  
135, We need your help      Over the coming weeks well be checking in with weekly polls to see how youre doing and to help us learn how we can be here for you       Todays question Has your work  situation  been affected by the COVID19  pandemic 
136, SRILANKA  COVID19   Situation  at 12052020 1000 SL STD TIME Total Number Confirmed 869  6    Total Number Recovered 366 23    Total Number of Deaths 9  0  Confirmed and hospitalized  today 10am 494  17    Suspected and hospitalized  today 10am 117  3     pictwittercomSqlrqSuxFA
137,The Delhi government has announced summer vacation in schools run and aided by the state government from May 11 to June 30 and students will not be called to schools for any vacationrelated activity in view of the COVID19   situation   httpswww newindianexpresscomcitiesdelhi2 020may07summervacationindelhigovernmentrunaidedschoolsfrommay11tojune302140212html   …
138, Mizoram   A consultative meeting chaired by CM Zoramthanga decides to impose 2week total lockdown in the state from 9th June 2020 in view of the prevailing  situation  Lockdown guidelines will be notified shortly  State Govt COVID19  coronavirus  News18MP  News18CG pictwittercombZPu1NCGcZ
139,Pop  Situation  Analysis in changing economic social  environment conditions due to COVID19  provides basis for making policy  program interventions for better development outcomes  Technical meeting held by Ministry of Planning  UNFPA  on PSA attended by 65 stakeholders pictwittercomN9GiRCMe23
140,Malawi announced its first three  COVID  19  cases imported from  India  Several other East African cases imported from  India  highlighting the real spread of the disease the number of unknown cases perhaps  lockdown   extension  rather than moralebuilding is the need of the hour
141,Your views on further  extension  of  lockdown  in  India 
142,Just to clarify in terms of social distancing this photo was taken prior to the current  situation  with  Covid19
143,This about SUMS UP THE ENTIRE INDIAN RESPONSE TO COVID19    India Remdesivir  Supplies Peculiar  Situation  Flip Flops And Bangladesh Touch   https scrippharmaintelligenceinformacomSC142386India RemdesivirSuppliesPeculiarSituationFlipFlopsAndBangladeshTouch   …
144,Lockdown   extension  in  India  till May 3 sparks protests by jobless migrant workers  httpswww trtworldcomasiaindiaign itesprotestbymigrantworkersoverlockdownextension35407   …
145,I want to be the voice for other children who are going through the same  situation  as I am In other words I want to raise my voice and to ask questions on COVID19   Nyajima 17 South Sudan DAC2020  DayoftheAfricanChild2020 https unicf30OvTTg  
146,The 40day nationwide  lockdown  from 23 March to 15 April and then with an  extension  of  19  days till 3 May to control the  COVID  19  outbreak has spelled trouble for the transgender community in  India 
147,Navigating the COVID19  new normal 6 key areas companies can focus on to manage the current  situation  and prepare for whats ahead CrisisManagement https sbstratbztostabilize  
148,Hi Loz were monitoring the  Covid19   situation  closely and have special procedures for select locations Special procedures are limited to the severely affected areas and based on government issued travel bans Recommendations not to travel are not the same as travel bans 13
149,AirAsia is mounting special recovery flights for those passengers affected by the enhanced community quarantine  situation  in Luzon as well as in different parts of the country due to the COVID19  pandemic ECQ  AirAsia https tribunenetphindexphp2020 0522airasiamountsspecialrecoveryflightsinphl   …
150,Great work mdfrost  LMelvinMD  RBCavalcanti  and the GIMtoronto  team Nice framework for ward design for future planning in addition to the current COVID19   situation   https twittercomDianaToubassi status1268207934875537408   …
151,Thats important information arrivanorthwest  yet this current CoronaVirus   COVID19   situation  is causing Key Workers transferring their stress on to Customers Ive witnessed it within Retail  Do you offer your Bus Drivers counselling or anger management training   pictwittercomnvJIS1PtbG
152,A lot of social media platforms have had to adapt to the ever changing COVID19   situation  and Linkedin  have started to test new reactions so users can express more responses during the pandemic    https buffly2zsikhc   pictwittercomvhVhmgalNb
153,People on Twitter who want  Lockdown  to end at this point should be really allowed to roam free outside At least well have lesser idiots in  India  once were out of this crisis  lockdownextension  Lockdown5
154,Reports of child abuse have surged since the schools were closed on March 24 to prevent the spread of the COVID19  The most commonly reported violations are child neglect and child sexual abuse with the  situation  worsened with closure of safe spaces and curtailing movement
155,India  with a population of 13 Billion  vast area cant  should not apply the same yard stick in deciding the  extension  of lockdown   Monsoon will be a key factor for keralagovt   Extending the  Lockdown  may not be a wise decision for Kerala PMOIndia  vijayanpinarayi
