,tentative Tweets
22,Lockdown  Extended till 3rd of May India  Lockdown2
23,I hope government should be right decision  lockdown  40 India  Lockdown4  FightAgainstCoronavirus
24,Computer viruses of course can go around a world in a few seconds I sort of knew somewhere in my head that a  Covid19   situation  could happen but I didnt pay much attention to it  Now none of us have any choice And this could happen again And again
25,Congratulations  India   lockdown  extended till 31st May   lockdown  Lockdown4point0  lockdownextension  Lockdown4  
26,Around 27 employees of BEST buses Mumbai had died due to  covid19  and more than 150 got infected Maharashtra govt not taking any measures nor even paying attention to this grave  situation  save  BEST employees TV9Marathi  abpmajhatv  CMOMaharashtra  republic
27,Government should bring ordinance immediately on account of  lockdown  economy loss NO Bandh shutdown can be called for next 2 years at state or pan  India  level for whatsoever reason by any org  PMOIndia  lockdown   Lockdownextention   Lockdown3   IndiaFightsCorona
28,Does the further  extension  of lockdown  in India  has any relaxation criteria’s    COVID  19  coronavirusinindia  TelanganaFightsCorona  Telangana  Covid 19india
29,what i mean is what are we supposed to do in this kind of  situation  we clearly cant go out because  covid19  still exist guys come on and the riot is getting out of control
30, ECDCEU  COVID19   situation  update worldwide as of 18 May 2020  https crofsblogstypepadcomh5n1202005e cdccovid19situationupdateworldwideasof18may2020html   …
31,End of the day  lockdown  till 3rd May  Itnisi baat keliye itnaa buildup  And ya i forgot Modiji s The Best without him  India  wouldnt even have existed by now Did he say anything else CoronavirusOutbreakindia  Lockdown2  ExtendTheLockdown  Covid 19india
32, Recycling processes are sometimes disrupted due to the COVID19   situation  Compostable  packaging like YPACK  could be a great alternative to avoid recycling steps  See how waste is managed in the different EU countries during COVID19    httpswww acrplusorgenmunicipalw astemanagementcovid19europeanunion   … pictwittercomjkYWIQUkVO
33,Thanks to the novel corona virus swachh bharat now seems like a real possibilitySwachhBharat  COVID19  This is great opportunity to capitalize on what  started as a complusion in a life or death  situation  SwasthaBharat
34,Lockdown  till 3 May in whole  India   LockdownExtended  Lockdown2
35,We need to show people not just the problem but the solution The darker the  situation  the more people need hope Join our conversation with thehopeguy  about hopebasedcomms  in the time of COVID19  PumaPodcastPH  LISTEN NOW  http owlyQuzJ50ylrdj     WiseOwlPH  GiveAHootPH pictwittercombfIuFxKkYx
36,Just to clarify in terms of social distancing this photo was taken prior to the current  situation  with  Covid19
37,Lockdown   extension  in  India  till May 3 sparks protests by jobless migrant workers  httpswww trtworldcomasiaindiaign itesprotestbymigrantworkersoverlockdownextension35407   …
38, COVID  19   lockdown   extension    India s FY21 GDP may contract to 1 in FY21 ICRA moneycontrolcom   httpswww moneycontrolcomnewsbusiness covid19lockdownextensionindiasfy21gdpmaycontractto1infy21icra5143791html   … 
39,What is the  situation  in Maharashtra About migrants and about COVID19  
40,Where these people going during  Covid19  time Are they not aware about the breakout of corona virus and how the  situation  is around the world  ONUmigration  OIMNiger  oimmali  IMOsecurity
41,With salary cuts being announced all around amid covid19  many founders  are left wondering Should I go ahead too  OR  Should I wait and get a better grip at the  situation   Here is what we did ↓
42,Now  lockdown  in  India  has more sequels than any Bollywood movie Lockdown5
43,These tragic acts of Terrorism  has further complicated the unemployment   situation  and returning to work  due to COVID19    We need to figure out some sort of extension for the federal assistance to unemployment  There are good ppl who need help 
44,Yep The nonsense of the  COVID19   situation  is so great that the only plausible explanation making sense is the idea of a hidden agenda which most likely revolves around profiteering from a mass vaccination while the disease itself is treatable with inexpensive drugs like HCQ
45,Due to the current changing  situation  and reduced workforce it is likely there will be delays in processing some cases and therefore we are unable to provide any timescales  We are taking steps to prioritise applications for Critical Workers in relation to the  COVID19  pandemic
46, Lockdown5    Exclusive PM Modi may announce  Lockdown  50 on Mann Ki Baat ease restrictions in most of  India    India  News  httpswww indiatodayinampindiastor ypmmoditospeakonlockdown50inmannkibaat168246920200527referrerhttps3A2F2FwwwgooglecomamptfFrom2025124s   …
47,Possible lockdown   extension  announcement maybe coronavirus  covid19  coronaupdatesindia  India   https twittercomPMOIndiastatu s1249620775679610880   …
48,LIVE Updated 18th May 2020  COVID  19  Statewise Status Update as per Govt of  India   IndiaFightsCorona   Lockdown4  LockdownExtended pictwittercomUSaiXiWLqa
49,The NITI AAYOG report from 24th Arpil claimed India will have ZERO  COVID19  cases by 16th May  Today India is in a worse  situation  than even China ShamelessBJP
50, BangaloreTimes1  post some updates about covid19   situation  in Bangalore  not only filmy updates
51,NontransportCOVID19  tweet Solidarity with police officers finding themselves in this sort of  situation   and not just because Im not a farright hooligan  often a hazardous job SuptAndyCox  MPSRTPC  MetCycleCops   WMPTIU  markandcharlie  PCHarryRance  SurreyRoadCops https twittercomVinnieoDowdst atus1271809857507770376   …
52,Future development of any country depends on the students In this pandamic  situation it is not necessary to conduct exams for the students if  covid19  spreads through students it effects whole country  CancelTSExamsPromoteStudents   CancelTSExamsPromoteStudents
53,Dear vidhyas    Thank you for your kind words We are glad we could assist you with your  situation     Regards COVID19karnataka
54,Oh I just hate this whole horrible  situation    COVID19  coronavirus
55,Does it feel like as bad as the COVID19  is the political  situation  is far far scarier Two partys that are fighting for power and control not for us not for the USofA  or anyone else
56,It is possible to see our  situation  not as a sacrifice of individual rights to community interests as the ReOpen America protestors seems to think but rather as a rebalancing of some individual rights against others COVID19   http bostonreviewnetphilosophyrel igionlawjusticeattilamrazrightstimepandemic   …
57, WorldElderAbuseAwarenessDay  WHO   STOP ElderAbuse  now  From our social volunteeering accompaniment SVSSitges  we report any suspicious  situation  which may indicate abuses  of elderly  persons at home  or at healthcare  centres  The COVID19  crisis has taught us a lot  pictwittercomAq9pWRZQmT
58,In this  situation  of world  Only we ourselves  could save us by maintaining social distance COVID19
59,M7 Some truck drivers are being found with diseases like pressure and diabetes This is dangerous a truck driver should be like a pilot This  situation  has awakened us COVID19
60,Stay Safe Everyone    Lockdown4  might be coming  IndiaFightsCOVID19    Should  India  extend  Lockdown  beyond 17 May
61,If  lockdown   extension  to june or july where the low class people or private job holder get the payment for EMI whose salary get stock by the organisation so please extend the moratorium atleast 3 or 6 months coz it doesnt know when  covid  19  will go from  india 
62, narendramodi  Sir these are extraordinary circumstances How can we even debate or doubt the  extension  of  lockdown  Life comes before everything PMOIndia  MoHFW INDIA  drharshvardhan
63, whirlpool india  is there any warranty  extension  due to  covid  pandemic  And are your service persons available in  lockdown 
64, NYGovCuomo  you better remove the mayor of nyc and get control over the  situation   or Trump will do it for you This may also help redeem you for those ridiculous daily  covid19  briefings
65,VIA  juiceyorange  Am talking about the  Covid19   situation  on their restriction presently and the way they are speeding inside BRT lane around ikeja along axis bro you will want them home nowcarrying 2passengers at a go most of us complain about…  http dlvritRX6DS0  
66,Being Regulatory Body of Airline in  India  Kindly order to provide refund of money for flights cancelled after 3rd May to 17th May 2020 due to  lockdown   extension   Railway providing full refund then why not DGCA they just looting our money and giving us Credit Shell
67,Section 144 CrPC to remain imposed in Ghaziabad district till 31st May 2020 This period can be reduced or cancelled as per the  situation   District Magistrate Ajay Shankar Pandey COVID19
68,I wonder if any confirmed deaths from these violent RIOTS will be listed as  Covid19  deaths Curious Especially since  Covid19  now seems to be ALMOST a thing of the past There are little to no reports on the news with this new  situation  going on It seems a little strange
69,Some restrictions eased as  India  begins third  extension  of nationwide lockdown   coronavirus  Covid  19   pictwittercomkkUpKmHEKg
70, DrPramodPSawant  ArvindKejriwal   Lockdown  in  India  has become a damn joke Almost everything is open but States still want a  lockdown   extension of what Even govt expert panels are now against an  extension  but the expert CMs want to continu
71,Answer Somebody profited from our  covid19   situation  Even the PPE purchase for JunAug stocks is highly priced  DOHgovph  SecDuque  CabSecKarlo  ANCALERTS  ABSCBNNews  attyharryroque  iampinglacson  DILGPhilippines  govph  inquirerdotnet  senatePH https newsabscbncomnews051920 bakitdoblelacsonquizzesdohoverpriceoftestingmachinesswabbingkits   …
72,read this Ten Doubts You Should Clarify About  Lockdown  50 In  INDIA  Lockdown5point0  Lockdown5   coronavirus  COVID19India    https gautamtechtipsblogspotcom202005tendo ubtsaboutlockdown50inindiahtml   …
73,Watching some NHLBruins  games during this season before the COVID19   situation  man did they look like a team that is ready to be champions this year and hopefully they have that same look in there eyes when the playoffs finally begin WeEantTheCup  ItOurTimeNow  GoBs   pictwittercomd5P4Kxtotp
74,Can Gut Microbes Predict COVID19 Severity   COVID19  makes us feel helpless but there are some things we can do to improve our  situation    http owlyw1ti30qH5Py    PsychToday
75,The Chinese Communist Partys crackdown on church services in homes and buildings now extends to online services  India ’s prime minister on Tuesday announced the  extension  of the world’s largest  lockdown  for 13 billion people until May 3 but said there may be some easing soon
76,اے اللہ تمام انسانوں اور اس کائینات پر اپنا رحم فرما آمین۔۔ ۔ Eidhi Foundation has managed a Special team for the burial  janaza of  COVID19  dead bodies Any one facing  situation  like this may contact  nearest Edhi Center
77,Seeing a reply to this tweets makes me grateful how im still sane in this  situation  Theres too many who still dont believe or dont want to believe  Covid19  is happening how theres a real toll on this pandemi and theres someone who says that this is a conspiration Geez
78,This video contains some vital information with regards to the  Covid19   situation  Is anyone able to do an analysis and see if he is right or wrong   httpswww bitchutecomvideo5ZhlqbC6 7ij2   …
79,We do not believe in fear We believe fear in a place like Moria is potentially even more harmful than the virus  Read our interview with Dutch NGO Movement on the Ground about the  situation  for migrants and aid workers amidst the COVID19  pandemic   httpswww infomigrantsnetenpost24600 coronavirusaidworkersandmigrantsonlesbosconcernedbutnotafraidsdsdsdsd   …
80,Ottawa Anyone can now get a COVID19  test regardless of symptoms or  situation  Head to the Brewer assessment centre or any of the two care centres in the eastwest if you want to get a test ottnews  coronavirus
81,Tired of him milking this tragedy Ridicules the entire nation  Extension  of  lockdown  could have been done via PIB India  or a tweet at best
82,Good So now tell us  How many thugs who are looting did you tell them they should kill Less than those dead from  COVID19  or just an all you can kill kind of  situation   https twittercomrealDonaldTrum pstatus1266380510344949761   …
83, Telangana   The students who are not appear for  SSC  examination scheduled from June 8 to July 5 2020 due to COVID19   situation  will be allowed to appear for the advanced supplementary examination     Schools  Education  Exams2020  coronavirus  Hyderabad pictwittercomCoQVjV0sR8
84,India  eased some restrictions in the fourth phase of the  lockdown   Lockdown4    https bitly368Yljc  
85,only because of some miscreants dont miss chance to visit after COVID19  but need to correct  situation  here by sending hardcore hindus sendhindusback  here handcuffed  then you will find this as most peaceful place on earth khaleejtimes  gulfnews  ndtvindia  INCIndia
86,Due to the current changing  situation  and reduced workforce it is likely there will be delays in processing some cases and therefore we are unable to provide any timescales  We are taking steps to prioritise applications for Critical Workers in relation to the  COVID19  pandemic
87, Lockdown3  for 2 weeks  Till 17th May  घरों में रहो सुरक्षित रहो   Covid  19  India  Delhi
88,The current  situation  of COVID19  in Kenya  is inimicalschools reopening  may be extended until next year  Lets continue praying for our country that the virus might vanish ClassesInCrisis   FreeNjokaKariobangiMCA   GovMutuaHostsCoG   Raila sudi baba   Raila sudi baba  fre pictwittercomsnH9vnk7kI
89, dmgbnagar  look how GalgotiasUni  is pressurising students to pay academic year 2021 fees in this difficult  situation  The university dont even know how many of there students families suffering from economic crisis or even  covid19 Sir please take serious action against them  pictwittercom7eYvcp7wYj
90,Ayurved a holy path to stay fit even during this  COVID19  pandemnic  situation  gaurishpuranik  ScientificSanatanDharma https twittercomAvADHstatus 1270910198731862016   …
91,India ’s  lockdown  extended till May 3 Lockdown2  SocialDistancing  ModiMangalMessage https pluctvstoryindiasl ockdownextendedtillmay3   …
92,We already have dogs in  India  wondering where humans went  But some Dogs dont keep their mouth shut even during the sacred month of Ramadan and serious time of  lockdown  JusticeForApurva   COVID  19   RoastNahiFryKarunga   lockdown4  yuvi pictwittercomWNSNBydOVp
93,In this video Kebreab talks about how the  situation  of covid19  lockdown is improving inner relationships in some families while having a devastating toll on other families and shares some practical ways on how to use this  situation  to our advantage  httpswww youtubecomwatchvdtmO9s ks0rQfeatureshare   …
94,Did anyone else catch this The Trump White House just literally said that the reality of the  situation  is not acceptable You can be driving to school and some bad things can happen too rejoined Trump COVID19   httpswww cnbccom20200513cor onavirustrumpsaysfauciswarningsaboutreopeningarenotacceptablehtml   …
95,If you can buy some disposable paper masks  Keep in your car If you see a houseless person or someone at the gas station etc ask if they need and want one I gave out two b4 noon     even though the City’s temp pandemic  situation  for housing is over  COVID19  not wearamask
96,These tragic acts of Terrorism  has further complicated the unemployment   situation  and returning to work  due to COVID19    We need to figure out some sort of extension for the federal assistance to unemployment  There are good ppl who need help 
97,Random testing is to be started in  India  or not Still debatable when cases are rising rapidly Covid  19  RahulGandhi  RaGaSpeaks  RahulSpeaksForIndia  LockdownExtended  lockdown  Lockdown2   https twittercomTheHealthToday status1250698501312245762   …
98,Motorola Razr 2019  India  Sale Date Postponed Once Again to May 6 Post  Lockdown   Extension   https nandemoarucommotorolarazr 2019indiasaledatepostponedonceagaintomay6postlockdownextension3   …
99,As some people haggle on when WHO  declared a Pandemic  For me I have on this 16th Day of May 2020 declared this a PLUNDEMIC   Because some entities are clearly bent on gaining from the COVID19   situation 
100,Distribution of foodgrains under PMGKAY  is ongoing in some States for months of April May 2020 While 11 States are distributing foodgrains in onego for upto two or three months quota to avoid multiple trips of beneficiaries to FPSs during COVID19   situation  thewirein  210
101,Option 01  Lockdown   Extension   Option 02 Gilgit Baltistan muzaffarabadPOK is now Integral part of  India   Option 03 NRCCAANPR  ANY ONE OF THE ABOVE GIVEN OPTION THAT MODI JI WILL ANNOUNCE TONIGHT
102, SeimenBurum  Even allowing for  Covid19  being an unprecedented  situation  globally even without comparisons with other countries the UK have dealt with this  situation  so badly Complacency kills  https twittercomPippaCrerarst atus1258069041148821504   …
103,Thanks a lot Hopefully the numbers  the  situation  continue to improve
104,Answer to people asking you for the latest news and update about the  COVID19   situation  after they tell you not to always complain and not blame the govmnt for the  situation   I dont know and I dont care I stopped  getting into to things that I cant control Suggest mo yan diba
105,The COVID19   situation  has become a crisis for Brazil Yet even in the midst of crisis there is hope Check out our recent update on Brazil and how Life Impact is helping to make a difference for some of the most vulnerable during this time  https bloglifeimpactintlorg20200520hop eforbrazilinthemidstofcrisis   … pictwittercomZ9WEYgHzL6
106,Sometimes our toddlers ask us questions that are hard to answer — especially when we’re not sure what the right answer is like the  situation  many communities are facing with COVID19  Here are some tips for answering your childs questions  httpswww pbsorgparentsthrive whyarepeoplewearingmasksansweringyourchildsquestions   …
107, travelgenio  Hello i have not received any updates or confirmation of my crediting refund due to the  Covid19   situation  My supposed flight is tomorrow so can u pls give me an update immediately   I have already sent u countless emails on this Pls reply
108,Lockdown  in  India  extended till 3rd May   Lockdown2   lockdownindia   covidindia
109,Hope the  situation  in your location is under control shontelwinny  COVID19
110,While we remain at home where possible to tackle Covid19  some criminals will exploit the  situation  Read on to find a crime prevention leaflet compiled by MerseyPolice  to Stay Safe at Home  http orloukstaysafeath omeaQdw8   … pictwittercomy4pC4p9GQR
111,CM captamarinder  Singh will chair a review meeting with the concerned departments on the overall COVID19   situation  in the state on May 30  announce the government’s decision on lifting or further extension of lockdown thereafter Punjab Chief Ministers Office file pic  pictwittercomeKr5vNo6Rg
112,   my heads under water  Life lessons n experience says Be careful Lol   Life current  situation  says  Ur on  covid19  Everyone is dying anytime    Just feel fine   
113, Reliance  tomorrow can give a gapup opening  stockstowatch    Thought to ponder  if this  covid19   situation  had not arisen just wonder how high would Mukesh Ambani’s fortune had reached with so many back to back bumper foreign investements
114,The reduced growth forecasts on  India  over  Covid  19  pandemic are “way too optimistic” and the impact of the  lockdown  could be even worse than what is being predicted said Arvind Subramanian  coronavirus  COVID19  Lockdown2    https mybsin2YMS8sP  
115,Women leaders seem to be doing well with COVID19   Makes the US  situation  even more tragic  https twittercomcamanpourstat us1257747259711610880   …
116,I rode Tbilisi metro two days ago Pretty much the same  situation   people wear masks but there is zero social distancing or any other safety measurements Georgia  Tbilisi  publictransport  COVID19   https twittercomOCMediaorgsta tus1271361562742263809   …
117, GovWhitmer  Go check out Kentucky’s governor AndyBeshearKY  He may have a few pointers on how to address this  situation  including informing the public about what is happening and being open about planning with your people COVID19
118,worst thing ever reading a Facebook  post that starts with a friend shared this with me and its supposedly written by a doctornursemomdad about  some COVID19   situation  or information that  counters everything health experts say Dont  share fakenews pictwittercomCuzVxqy5qs
119,If not in a  situation  whith other people I dont wear one  If I were 25 years old I would find someone with  covid19  and kiss them im not and appreciate people looking out for me by covering up  Someone occupies those body bags and I am a likely candidate
120,People are fed up with  lockdown  after  lockdown  In most places they have reverted to the new normal masks and some physical distancing but everyones had enough So if theres any more  extension  it will fall flat on its face PMOIndia  narendramodi  MoHFW INDIA
121,In light of covid19  are you an employer or employee who requires advice in relation to a redundancy  situation   Lisa Clark is an employment  specialist who is able to provide guidance please call 0800 294 4410 or email infomarsdenrawsthorncom pictwittercomSrm5I780YJ
122, Lockdown  has been increased in India  till 3 may Said by narendramodi  StayHome  stay safe Lockdown2
123, Lockdown5  Lockdownextension  india    Containment zone will continue strict  lockdown    Other places phase wise relaxation in 123 stages  Curfew for 9 PM to 5 am     People can now do movement inter and intrastate around without much restrictions or any special permission  pictwittercomwtdnMuu2uI
124,The world belongs to humanity not this leader that leader or that king or prince or religious leader The world belongs to humanity TuesdayThoughts  India  USA  coronavirus  Covid  19  COVIDー19  COVID  COVID19  Corona  COVID2019  Unlock1  unlock2  ideal  responsibility pictwittercomH8dMvZQZXL
125,Post LockdownExtension  Barclays said  India  GDP will fall to zero in CY2020 Now Icra says GDP could even see a contraction in FY21  1 for full year moneycontrolcom   COVID  19   lockdown   extension    India ’s FY21 GDP may contract to 1 in FY21 ICRA  httpswww moneycontrolcomnewsbusiness covid19lockdownextensionindiasfy21gdpmaycontractto1infy21icra5143791htmlamp   …
126,Situation  of covid19  in sindh  as on 12 may 2020  covid19  coronavirus  coronavirusinsindh  coronavirusnews  sindhgovt  karachi pictwittercomsNZUECCPa5
127, Lockdown3  for 2 weeks  Till 17th May  घरों में रहो सुरक्षित रहो   Covid  19  India  IndiaFightsCOVID19
128,I just saw a picture posted by my oga segalink  About the COVID19   situation  in kano    that is not even my problem My problem is why would a county and government fighting corruption still have a public facility named after abachaloot  I mean are we even serious in th
129,A good thread on confusing UK stats on  COVID19  and what that says about government getting a grasp of the  situation   https twittercomEdConwaySkyst atus1267856088449323010   …
130,Richard Littlejohn Britannia is teetering on the brink of anarchy  https molima8412783    via MailOnline  Sums the  situation  up pretty well  once the COVID19  scaremongering is over there will hopefully be one almighty blacklash
131,Has  lockdown  been lifted See lots of people out and autos plying and regular state of affairs ofcourse with little or no social distancing Why are we so stupid or we cant comply with rules which might save someones life bangalore  india  lockdown3
132,Something for UK riders to look forward too although it may take a while given the current  situation  here with  Covid19   https twittercomCyclingNSWsta tus1271316564055191553   …
133, narendramodi   Perhaps we need to consider mid term budget revision in view of drastically changed  situation  due to  Covid19
134,Some people are doing great work Together we can combat this  covid19  pandemic  situation   https twittercomsanopailastat us1263150066820243456   …
135, askraina  I want to ask a question about the current  situation  COVID19    Suppose kisike paas if paisa nahi hai hospitals expenses pay karne toh kya usey mar jaana chahiye   I dont want any signed merchandise and all  just answer this  as i know you  youre great so plz 
136,WHO has estimated roughly 23000 SAcans will die of  covid19   and our estimates stands at 40000 maybe to some people this is a sick joke until it affects one of their immediate families Very soon we’ll be in similar  situation  like US created by arrogant Trump
137, Lockdown  in  India  extended till May 3 announces PM narendramodi  Live Updates  https bitly3ejHL41    Lockdown2   pictwittercomNpQEkcLtMN
138,Covid19  like  situation  can arise at any time  Today there is  covid19  tomorrow could be something else  Hiding the failure to provide good health care behind your address Dilli ke logo is bad and make other to feel discriminated It is abuse of federalismArvindKejriwal
139,Worried about the COVID19   situation  in Virginia  Passed 1000 deaths now And more and more people coming out in Charlottesville and not keeping distance or wearing masks I get pneumonia whenever a virus even looks funny at my lungs I am going into even deeper hiding Grr
140,With many economists estimating a onemonth  lockdown  could hit a 2 percentage point blow to the economy the  extension  of the  lockdown  in May will turn  India ’s 1 growth forecast for 202021 to 1 contraction  httpswww deccanheraldcombusinesscoron aviruslockdownwoesindiasgdpcouldsliptonegative834110html   …
141, mrjamesob   Parents make the decision as to whether they will allow their children to enter a  COVID19   situation   any parent could be accused of child abuseneglect if their child contracted  Covid19 
142,This whole COVID19  CHAZ  BLM   situation  is really getting to me Could use some insight on how to deal with my anger issues by anyone right about now Feeling Madea like  pictwittercomNDSDIh4srH
143,Lockdown has resulted in mixed feelings around the world including in Africa and the Middle East with some feeling acutely isolated by the  situation  while others have been finding peace in the quiet GoodNewsOfTheDay  COVID19   https learningenglishvoanewscomathegoodand badoflockdown5441613html   …
144,Thinking about job give me anxiety I suppose to resign happily this month but  covid19   situation  just make me restless Looking for jobs like looking for a needle in a haystack
145,Tried redesigning logo’s of some famous brands looking at current lockdown  situation   logodesigners  logoinspirations  famousbrands  famouslogos  brandlogos  art  creativity  wireframeartworks  corona  coronavirus  covid19  lockdown  quarantine  indiafightscorona  india pictwittercomJuaD55pC0J
146,Reaction to Rep Drew Lewis disclosure that he tested for COVID19  has drawn some strong feelings about whether or not the House Republican leaders handled this  situation  appropriately   httpswww pennlivecomnews202005p ahousedemocratssaykeepinggopcolleaguesexposuretocovid19privateisunacceptablehtml   …
147,Modiji   Lockdown  will be extended across  India  till may 3 Lockdown2   StayHomeStaySafe pictwittercomzechKHbuFL
148,Today Im so tired There are a lot of stones has shipped from IN AT and HK And The  covid19   situation  here is getting better the number of new infection is 0 How about you I hope everything is back to normal soon Hope you are fine  I miss you
149,Lockdown  has been extended across  India  till 3rd May There will be strict vigil till April 20 Relaxation may be given in safe areas post 20th April See tags extension  lockdown  covid19update  governmentdecision  relaxation  marketingspade  Spadeems
150,1 point O 2 point O 3 point O  Most abused terminology in todays IndianPolitics  now Lockdown5  point O While  India  is still reeling with increase in COVID19  cases govt is calling for easing of restrictions Any guesses on whats next  httpswww googlecomampswwwnyti mescom20200529worldcoronavirusupdateamphtml   …
151,National  lockdown  extended by 2 more weeks   India  to remain under  lockdown  until 17th of May   lockdown  Lockdown3
152,Lockdown  extended across  India  till May 31 Lockdown4
153,PMCARES fund is a dedicated national fund with the principal objective of combating any kind of emergency or distress  situation  like posed by the COVID19  pandemic IndiaFightsCOVID19  modi2 pictwittercom0nQFLQS0b0
154,Or more died from BLM and Antifa riots than the  COVID19   I think so but this isn’t fact  I am only surmising the  situation   I guess I should shut up 
155,Due to the current changing  situation  and reduced workforce Its likely there will be delays in processing some cases and therefore we are unable to provide any timescales  We are taking steps to prioritise applications for Critical Workers in relation to the  COVID19  pandemic
156,In the current  situation  any research should address the per and post pandemic era although any research question should include the COVID19   situation  AcademicChatter  phdlife  phdchat  Dissertating  PhDVoice  TheHungryPhD  mcgillu
157,Is there any possibility of  extension  of  lockdown  after 14th April  CMOOdisha  PMOIndia  MoHFW INDIA  HFWOdisha  homeodisha  IRCTCofficial  AAIOfficial
158,It was an amazing house fellowship today 2 highlights  God can take any challenging  situation  and turn it around for His glory  as bad news of  covid19  spreads so also good news
159,35 of participants had a work placement cancelled or delayed as a result of COVID19 Students in work placements are sometimes paid  therefore a cancelled or delayed work placement could also impact their financial  situation   https bitly3glEwdo    canlab  cdnpse pictwittercomirpph8TZEx
160,Same  situation  in US which leads them  to having more cases Its also possible to die with  covid19  and not die of it So cause of death is not as easy and simple to determine as we may think
161,     conflict   coronavírus   india  indianfood  noreligion  coronavirusitalianews  religion  conflicto  religions   indiapictures  conflictresolution  conflicted  badreligion  conflictfree  Lockdown2  COVID19  LockdownQuestions
162,Congress said there was confusion within the central government in its fight against coronavirus and wondered how would  India  tackle the pandemic if officials continued to speak in different voices  COVID19  Lockdown3    https mybsin2YNBCUB  
163, BREAKING   lockdown3   India  extends nationwide  lockdown  beginning May 4th till two more weeksTimesNow pictwittercomTjxU49Ie7o
164,Whole world has almost got over  Corona  except 2 dozen or something countries notable failures till now are  India  Brazil USA UK Russia Saudi Arabia Peru etc Covid  19  Lockdown4
165,The usual glance through Twitter this morning has the current pandemic  situation  at somewhere between apocalyptic and over depending on who’s posting   The usual suspects wanting to be negative about everything as per  as it really doesn’t suit their agendas   COVID19
166,I really dont think this lockdown  will be lifted on may 3rd even after containing it to a steady growth Feel its going to take entire may and some days of june as well if this week or next would be the peak of pendemic in  India  IndiaFightsCorona  lockdown2
167,Russian authorities attempting to punish RFERL  SvobodaRadio  journalist Tatyana Voltskaya for reporting disturbing firsthand account about the desperate  situation  in Saint Petersburg hospitals due to COVID19  JournalismIsNotACrime  RFERLPress https bitly3d2Bdos  
168,Nationwide  lockdown  extended in  India  till 3 May 2020 Modi  Lockdown2  COVID2019 pictwittercom2MoZHdZefz
